slugTeam,dateGame,numberGameTeamSeason,isB2B,isB2BSecond,countDaysRestTeam,slugOpponent,opp_numberGameTeamSeason,opp_isB2B,opp_isB2BSecond,opp_countDaysRestTeam,locationGame,outcomeGame,act_pts,act_opp_pts,act_net_pts,pts1,fgm1,fga1,pctFG1,opp_pctFG1,fg3m1,fg3a1,pctFG31,opp_pctFG31,fg2m1,fg2a1,pctFG21,opp_pctFG21,ftm1,fta1,pctFT1,opp_pctFT1,oreb1,dreb1,treb1,ast1,stl1,blk1,tov1,pf1,wins1,losses1,pts2,fgm2,fga2,pctFG2,opp_pctFG2,fg3m2,fg3a2,pctFG32,opp_pctFG32,fg2m2,fg2a2,pctFG22,opp_pctFG22,ftm2,fta2,pctFT2,opp_pctFT2,oreb2,dreb2,treb2,ast2,stl2,blk2,tov2,pf2,wins2,losses2
MIL,10/21/2017,3,TRUE,TRUE,0,POR,3,TRUE,TRUE,0,H,W,113,110,3,-5.5,-3.5,-7,0.481012658,0.48255814,-2,1,0.321428571,0.407407407,-1.5,-8,0.568627451,0.516949153,3.5,2,0.833333333,0.736842105,-3,-3,-6,-3,-2.5,0.5,-4.5,0.5,1,1,33,13.5,9,0.486486486,0.377245509,6,-1,0.534883721,0.244444444,7.5,10,0.471830986,0.426229508,0,-3,0.777777778,0.68627451,5,13,18,8,1.5,0.5,-7,3.5,2,0
NYK,10/21/2017,2,FALSE,FALSE,1,DET,3,TRUE,TRUE,0,H,L,107,111,-4,-21,-7,-11,0.405063291,0.433333333,-4,-14,0.291666667,0.289473684,-3,3,0.454545455,0.538461538,-3,-3,0.684210526,0.727272727,-2,2,0,-7,-6,-3,3,1,0,1,4,7.5,17.5,0.459016393,0.466216216,2,1,0.387755102,0.319148936,5.5,16.5,0.485074627,0.534653465,-13,-16,0.8125,0.8125,4.5,-6.5,-2,1,5,-3,-3,10,1,1
OKC,10/21/2017,2,TRUE,FALSE,1,UTA,3,TRUE,TRUE,0,A,L,87,96,-9,21,7,11,0.433333333,0.405063291,4,14,0.289473684,0.291666667,3,-3,0.538461538,0.454545455,3,3,0.727272727,0.684210526,2,-2,0,7,6,3,-5,-1,1,0,3.5,3,0,0.493670886,0.455696203,-1,-1.5,0.391304348,0.408163265,4,1.5,0.535714286,0.47706422,-1.5,-2.5,0.878787879,0.842105263,-2,-2,-4,6.5,2,4,-0.5,2,1,1
ORL,10/21/2017,3,TRUE,TRUE,0,CLE,3,TRUE,TRUE,0,A,W,114,93,21,1,-1,-7,0.491620112,0.466321244,4.5,-1.5,0.481481481,0.298245614,-5.5,-5.5,0.496,0.536764706,-1.5,-4,0.795454545,0.730769231,-3,2,-1,1.5,-1,1,-0.5,4,1,1,11,4,-3,0.5,0.435294118,-1.5,-9.5,0.333333333,0.28358209,5.5,6.5,0.568965517,0.533980583,4.5,2.5,0.904761905,0.783783784,0.5,8.5,9,-1.5,-4.5,0.5,-3.5,-2.5,2,0
PHI,10/21/2017,3,TRUE,TRUE,0,TOR,2,FALSE,FALSE,1,A,L,94,128,-34,-7.5,0.5,2,0.421621622,0.425414365,4.5,8,0.373134328,0.31372549,-4,-6,0.449152542,0.469230769,-13,-17.5,0.742857143,0.742857143,-2.5,-3.5,-6,4,0.5,-2.5,-5.5,7,0,2,17,2,-6,0.469879518,0.415730337,3,-3,0.448275862,0.3125,-1,-3,0.481481481,0.473684211,10,10,0.928571429,0.888888889,3,7,10,4,3,2,-6,-4,1,0
PHX,10/21/2017,3,TRUE,TRUE,0,LAC,2,FALSE,FALSE,1,A,L,88,130,-42,-25,-9.5,-1,0.403314917,0.50273224,-2.5,3,0.375,0.52,-7,-4,0.416,0.496240602,-3.5,-2.5,0.696428571,0.754098361,0,-8,-8,-8.5,0.5,3.5,-8,-2,0,2,16,5,16,0.392523364,0.406593407,8,17,0.363636364,0.25,-3,-1,0.405405405,0.44,-2,-10,0.923076923,0.608695652,5,2,7,2,4,-4,-1,5,1,0
POR,10/21/2017,3,TRUE,TRUE,0,MIL,3,TRUE,TRUE,0,A,L,110,113,-3,33,13.5,9,0.486486486,0.377245509,6,-1,0.534883721,0.244444444,7.5,10,0.471830986,0.426229508,0,-3,0.777777778,0.68627451,5,13,18,8,1.5,0.5,-7,3.5,2,0,-5.5,-3.5,-7,0.481012658,0.48255814,-2,1,0.321428571,0.407407407,-1.5,-8,0.568627451,0.516949153,3.5,2,0.833333333,0.736842105,-3,-3,-6,-3,-2.5,0.5,-4.5,0.5,1,1
SAC,10/21/2017,3,TRUE,TRUE,0,DEN,2,FALSE,FALSE,2,A,L,79,96,-17,0,7.5,8.5,0.451428571,0.405063291,-2.5,-16,0.391304348,0.294871795,10,24.5,0.472868217,0.5125,-12.5,-13.5,0.739130435,0.84,3,6.5,9.5,0.5,-1,-1.5,2,5.5,1,1,-10,-5,-4,0.467532468,0.50617284,4,3,0.481481481,0.375,-9,-7,0.46,0.561403509,-4,-4,0.916666667,0.9375,1,1,2,-7,-5,-2,2,0,0,1
SAS,10/21/2017,2,FALSE,FALSE,2,CHI,2,FALSE,FALSE,1,A,W,87,77,10,8,4,4,0.460674157,0.435294118,0,2,0.380952381,0.421052632,4,2,0.485294118,0.439393939,0,-4,0.894736842,0.739130435,1,7,8,-1,1,7,-5,2,1,0,-17,-2,6,0.415730337,0.469879518,-3,3,0.3125,0.448275862,1,3,0.473684211,0.481481481,-10,-10,0.888888889,0.928571429,-3,-7,-10,-4,-3,-2,0,4,0,1
TOR,10/21/2017,2,FALSE,FALSE,1,PHI,3,TRUE,TRUE,0,H,W,128,94,34,17,2,-6,0.469879518,0.415730337,3,-3,0.448275862,0.3125,-1,-3,0.481481481,0.473684211,10,10,0.928571429,0.888888889,3,7,10,4,3,2,-6,-4,1,0,-7.5,0.5,2,0.421621622,0.425414365,4.5,8,0.373134328,0.31372549,-4,-6,0.449152542,0.469230769,-13,-17.5,0.742857143,0.742857143,-2.5,-3.5,-6,4,0.5,-2.5,-5.5,7,0,2
